Final number of Monte Carlo trials: 5000, and temperature: 2.40000
     Energy:      abs(Magnetization):    No of accepted moves: 
     -1.2343028     0.46831334          71514
     -1.2341168     0.46816617          71630
     -1.2340658     0.46793722          71737
     -1.2340000     0.46775373          71865
     -1.2339344     0.46754844          71978
     -1.2338095     0.46732887          72078
     -1.2336404     0.46710253          72193
     -1.2335163     0.46696588          72329
     -1.2335704     0.46683704          72448
     -1.2336538     0.46676775          72548
     -1.2337223     0.46672821          72638
     -1.2339676     0.46672566          72711
     -1.2340501     0.46684094          72803
     -1.2342647     0.46699265          72892
     -1.2345815     0.46718796          72968
     -1.2349120     0.46735337          73032
     -1.2353001     0.46752562          73113
     -1.2353070     0.46753655          73205
     -1.2350365     0.46755474          73328
     -1.2349417     0.46769679          73461
     -1.2348617     0.46778020          73579
     -1.2349273     0.46789244          73675
     -1.2347750     0.46793904          73782
     -1.2347536     0.46784783          73907
     -1.2346020     0.46774240          74031
     -1.2343786     0.46753613          74153
     -1.2342280     0.46734488          74281
     -1.2340634     0.46733429          74402
     -1.2338993     0.46719424          74528
     -1.2337931     0.46711207          74626
     -1.2337590     0.46696557          74735
     -1.2336963     0.46681232          74842
     -1.2336910     0.46662375          74949
     -1.2336714     0.46637143          75044
     -1.2336947     0.46616976          75153
     -1.2337322     0.46607550          75252
     -1.2337838     0.46602418          75362
     -1.2337358     0.46589489          75467
     -1.2335745     0.46568794          75602
     -1.2335127     0.46550992          75726
     -1.2334936     0.46527581          75844
     -1.2332910     0.46507062          75972
     -1.2331171     0.46483075          76115
     -1.2328732     0.46450704          76245
     -1.2325457     0.46409986          76391
     -1.2324860     0.46372893          76520
     -1.2323843     0.46335905          76632
     -1.2321989     0.46306723          76733
     -1.2321399     0.46280420          76849
     -1.2320112     0.46250000          76953
     -1.2318131     0.46220363          77100
     -1.2316017     0.46189415          77252
     -1.2315021     0.46155772          77382
     -1.2310694     0.46123611          77518
     -1.2306935     0.46080444          77660
     -1.2302078     0.46028393          77801
     -1.2298479     0.45987552          77955
     -1.2294890     0.45937155          78095
     -1.2292552     0.45897241          78238
     -1.2289669     0.45865014          78373
     -1.2286107     0.45827373          78505
     -1.2282418     0.45785027          78638
     -1.2280110     0.45744856          78757
     -1.2278219     0.45708904          78883
     -1.2276471     0.45664843          79029
     -1.2274727     0.45616803          79167
     -1.2274079     0.45557981          79289
     -1.2273297     0.45514986          79400
     -1.2271973     0.45475510          79523
     -1.2268478     0.45447690          79654
     -1.2264993     0.45421981          79801
     -1.2263686     0.45414634          79912
     -1.2261570     0.45395805          80051
     -1.2259865     0.45370270          80161
     -1.2259244     0.45354926          80280
     -1.2259030     0.45339623          80392
     -1.2259219     0.45317631          80500
     -1.2258065     0.45301747          80627
     -1.2257584     0.45286577          80740
     -1.2255764     0.45266086          80882
     -1.2252075     0.45236948          81011
     -1.2248396     0.45213235          81151
     -1.2244726     0.45182243          81286
     -1.2241333     0.45146667          81421
     -1.2238881     0.45113182          81578
